,lyric,clean_lyric
0,There's something 'bout the way,
1,The street looks when it's just rained,street rained
2,"There's a glow off the pavement, you walk me to the car",glow pavement walk car
3,And you know I wanna ask you to dance right there,
4,"In the middle of the parking lot, yeah",middle parking lot
5,"Oh, yeah",
6,"We're driving down the road, I wonder if you know",driving road
7,I'm trying so hard not to get caught up now,caught
8,"But you're just so cool, run your hands through your hair",cool hands hair
9,Absent-mindedly making me want you,absentmindedly making
10,And I don't know how it gets better than this,
11,"You take my hand and drag me head first, fearless",drag head fearless
12,And I don't know why but with you I'd dance,
13,"In a storm in my best dress, fеarless",storm dress fеarless
14,"So, baby, drive slow 'til we run out of road in this onе-horse town",baby drive slow road onеhorse town
15,"I wanna stay right here, in this passenger's seat",stay passengers seat
16,You put your eyes on me,eyes
17,"In this moment now, capture it, remember it",moment capture remember
18,Cause I don't know how it gets better than this,
19,"You take my hand and drag me head first, fearless",drag head fearless
20,And I don't know why but with you I'd dance,
21,"In a storm in my best dress, fearless",storm dress fearless
22,"Oh, oh",
23,"Well, you stood there with me in the doorway",stood doorway
24,"My hands shake, I'm not usually this way but",hands shake
25,You pull me in and I'm a little more brave,pull brave
26,"It's the first kiss, it's flawless, really something",kiss flawless
27,It's fearless,fearless
28,"Oh, yeah",
29,'Cause I don't know how it gets better than this,
30,"You take my hand and drag me head first, fearless",drag head fearless
31,And I don't know why but with you I'd dance,
32,"In a storm in my best dress, fearless",storm dress fearless
33,'Cause I don't know how it gets better than this,
34,"You take my hand and drag me head first, fearless",drag head fearless
35,And I don't know why but with you I'd dance,
36,"In a storm in my best dress, fearless",storm dress fearless
37,"Oh, oh",
38,"Oh-oh, yeah",
39,You take a deep breath and you walk through the doors,deep breath walk doors
40,It's the mornin' of your very first day,mornin day
41,You say hi to your friends you ain't seen in a while,friends
42,Try and stay out of everybody's way,stay everybodys
43,It's your freshman year and you're gonna be here,freshman year
44,For the next four years in this town,years town
45,Hopin' one of those senior boys will wink at you and say,hopin senior boys wink
46,"""You know, I haven't seen you around before""",
47,'Cause when you're fifteen and somebody tells you they love you,fifteen tells love
48,You're gonna believe them,
49,"And when you're fifteen, feelin' like there's nothin' to figure out",fifteen feelin figure
50,"Well, count to ten, take it in",count
51,This is life before you know who you're gonna be,life
52,At fifteen,fifteen
53,You sit in class next to a redhead named Abigail,sit class redhead named abigail
